;Título;Subtítulo;Link
0;Facebook tem acordo preliminar em processo por escândalo da Cambridge Analytica;Em 2018, usuários da plataforma acusaram a rede social de violar as regras de proteção da privacidade ao compartilhar seus dados com terceiros, incluindo para Cambridge Analytica.;https://g1.globo.com/economia/tecnologia/noticia/2022/08/28/facebook-tem-acordo-preliminar-em-processo-por-escandalo-da-cambridge-analytica.ghtml
1;Instagram desmente boato de que usa o GPS do celular para compartilhar a localização exata do usuário  ;A rede social da Meta confirmou que não faz uso da funcionalidade “localização precisa” dos smartphones para expor o local onde você está. ;https://g1.globo.com/tecnologia/noticia/2022/08/26/instagram-desmente-boato-de-que-usa-o-gps-do-celular-para-compartilhar-a-localizacao-exata-do-usuario.ghtml
2;Eleições: página do Google permite ver quais candidatos são mais buscados e geram mais engajamento ;Dados mostrarão nível de interesse nos candidatos desde 2004, buscas por estado e outras perguntas do processo eleitoral. Empresa ressalta que estatísticas não refletem intenção de voto.;https://g1.globo.com/tecnologia/noticia/2022/08/26/eleicoes-pagina-do-google-permite-ver-quais-candidatos-sao-mais-buscados-e-geram-mais-engajamento.ghtml
3;Gerenciador de senhas LastPass é alvo de invasão;Segundo a companhia americana, 'atividade incomum' foi verificada há duas semanas. A investigação não encontrou evidência de que o ataque 'tenha envolvido qualquer acesso aos dados de clientes'.;https://g1.globo.com/tecnologia/noticia/2022/08/26/gerenciador-de-senhas-lastpass-e-alvo-de-invasao.ghtml
4;Acervo de cofundador da Microsoft vai à venda por US$ 1 bilhão em 'maior leilão de quadros da história';Lucro das vendas será destinado à caridade.;https://g1.globo.com/pop-arte/noticia/2022/08/26/acervo-de-cofundador-da-microsoft-vai-a-venda-por-us-1-bilhao-em-maior-leilao-de-quadros-da-historia.ghtml
5;WhatsApp adia para 2023 a implementação da ferramenta 'Comunidades' no Brasil;MPF enviou uma recomendação à empresa Meta para disponibilizar a funcionalidade a partir de janeiro. Recurso permitirá agregar vários grupos, possibilitando comunicação entre milhares de pessoas de uma só vez.;https://g1.globo.com/tecnologia/noticia/2022/08/26/whatsapp-diz-que-ferramenta-comunidades-nao-ira-comecar-antes-de-2023-no-brasil.ghtml
6;"Meu celular vai receber o Android 13? g1 lista aparelhos que devem ganhar a nova versão 
";O Android 13 já está disponível, mas cada fabricante trabalha com um cronograma diferente de atualização. g1 listou os celulares que devem receber a nova versão nos próximos meses.;https://g1.globo.com/tecnologia/meu-celular-vai-receber-o-android-13-g1-lista-aparelhos-que-devem-ganhar-a-nova-versao.ghtml
7;Zuckerberg diz que 'é difícil não ficar chateado' no Twitter e que Instagram é 'superpositivo';Presidente da Meta, a controladora do Instagram, afirmou não querer construir 'algo que deixe as pessoas bravas'. Fala contraria pesquisa feitas pela própria rede social e as falas de artistas.;https://g1.globo.com/tecnologia/noticia/2022/08/25/zuckerberg-diz-que-e-dificil-nao-ficar-chateado-no-twitter-e-compara-a-instagram-espaco-super-positivo.ghtml
8;"'Golpe da mão fantasma' invade celular e esvazia conta; entenda";;https://g1.globo.com/tecnologia/stories/2022/08/25/golpe-da-mao-fantasma-invade-celular-e-esvazia-conta-entenda.ghtml
9;Golpistas no WhatsApp usam álbum de figurinhas da Copa do Mundo para atrair vítimas e roubar dados ;"Além do álbum, site falso promete 400 figurinhas para quem clicar em link, compartilhar ""promoção"" com amigos e oferecer dados pessoais. 'Todos os elementos de uma fraude', alerta especialista.";https://g1.globo.com/tecnologia/noticia/2022/08/25/golpistas-no-whatsapp-usam-album-de-figurinhas-da-copa-do-mundo-para-atrair-vitimas-e-roubar-dados.ghtml
10;Universidades testam novo modelo de urna eletrônica e atestam segurança da votação, diz TSE;Instituições firmaram convênio com o tribunal para inspecionar modelo entregue em dezembro, que não tinha sido submetido ao teste de integridade. Urnas são ainda mais modernas e seguras.;https://g1.globo.com/politica/eleicoes/2022/noticia/2022/08/25/universidades-testam-novo-modelo-de-urna-eletronica-e-atestam-seguranca-da-votacao-diz-tse.ghtml
11;Luciano Hang, da Havan, tem perfis retidos no Twitter, Instagram, YouTube e TikTok;Na última terça (23), o ministro Alexandre de Moraes, do STF, determinou o bloqueio de contas de empresários em redes sociais por compartilharem mensagens golpistas. Hang se diz censurado.;https://g1.globo.com/tecnologia/noticia/2022/08/25/luciano-hang-da-havan-tem-perfil-retido-no-twitter.ghtml
12;Globoplay passa a ser disponibilizado no Fire TV;Serviço está em todos os modelos do dispositivo vendidos no Brasil, como Fire TV Stick Lite, Fire TV Stick e Fire TV Stick 4K.;https://g1.globo.com/tecnologia/noticia/2022/08/25/globoplay-passa-a-ser-disponibilizado-no-fire-tv.ghtml
13;YouTube vai exibir conteúdo educando usuários sobre fake news;Programa piloto será implementado no leste europeu para ajudar a combater desinformação em relação a refugiados ucranianos.;https://g1.globo.com/tecnologia/noticia/2022/08/25/youtube-vai-exibir-conteudo-educando-usuarios-sobre-fake-news.ghtml
14;TSE diz que eleitor deve entregar celular antes de entrar na cabine de votação;"Corte respondeu a consulta do União Brasil; conforme tribunal, celular não poderá estar guardado no bolso no ato da votação. Polícia Militar deve ser acionada em caso de descumprimento.";https://g1.globo.com/politica/eleicoes/2022/noticia/2022/08/25/tse-confirma-proibicao-de-celular-em-cabine-no-dia-da-eleicao.ghtml
15;Criminosos esvaziam contas bancárias após invadir celular: entenda golpe alvo de alerta da PF e saiba como se proteger;Na ação, pessoas são enganadas para instalar programas maliciosos nos aparelhos e, assim, conceder acesso aos golpistas.;https://g1.globo.com/pe/pernambuco/noticia/2022/08/25/criminosos-esvaziam-contas-bancarias-apos-invadir-celular-entenda-golpe-alvo-de-alerta-da-pf-e-saiba-como-se-proteger.ghtml
16;Como descobrir os dados que o Google salva sobre você?;Site permite revisar informações armazenadas por serviços como Gmail, YouTube e Maps. Entre outros itens, aplicativos da empresa mantêm alguns dados pessoais e registros sobre sua navegação na internet.;https://g1.globo.com/tecnologia/noticia/2022/08/25/como-descobrir-os-dados-que-o-google-salva-sobre-voce.ghtml
17;Anatel apreende 2 mil produtos eletrônicos clandestinos da Shopee;Foram encontrados carregadores de celular, smartwatches, caixas de som, fones de ouvido e celulares sem o selo de homologação, que garante segurança e garantia em caso de defeito. ;https://g1.globo.com/tecnologia/noticia/2022/08/24/anatel-apreende-2-mil-produtos-eletronicos-clandestinos-da-shopee.ghtml
18;Como é ter microchip na mão?;;https://g1.globo.com/tecnologia/stories/2022/08/24/como-e-ter-microchip-na-mao.ghtml
19;Apple anuncia evento para 7 de setembro e aumenta expectativa sobre iPhone 14;Analistas esperam que a empresa também apresente novas versões do relógio inteligente Apple Watch.;https://g1.globo.com/tecnologia/noticia/2022/08/24/apple-anuncia-evento-para-7-de-setembro-e-aumenta-expectativa-sobre-iphone-14.ghtml
20;Ministro do TSE manda TV Brasil e redes sociais excluírem vídeo de reunião de Bolsonaro com embaixadores;Na decisão, Campbell destacou que é proibida a divulgação de fatos sabidamente inverídicos. Para ele, veiculação do material pode configurar prática abusiva para obtenção de votos.;https://g1.globo.com/politica/eleicoes/2022/noticia/2022/08/24/ministro-do-tse-manda-tv-brasil-e-redes-sociais-excluirem-video-da-reuniao-de-bolsonaro-com-embaixadores.ghtml
21;Ex-chefe de segurança do Twitter diz que empresa enganou reguladores em contas de bots;Denúncia do ex-executivo sobre contas falsas na plataforma surge em meio a batalha judicial entre Twitter e Elon Musk.;https://g1.globo.com/tecnologia/noticia/2022/08/24/ex-chefe-de-seguranca-do-twitter-diz-que-empresa-enganou-reguladores-em-contas-de-bots.ghtml
22;"Samsung lança linha de celulares dobráveis no Brasil; veja preços";Esta é a quarta geração de dobráveis da empresa, com aparelhos que têm valores entre R$ 7 mil e R$ 15,8 mil. ;https://g1.globo.com/tecnologia/noticia/2022/08/23/samsung-lanca-linha-de-celulares-dobraveis-no-brasil-veja-precos.ghtml
23;"Eve, da Embraer, vai iniciar testes de mobilidade aérea urbana para ""carros voadores""";Simulado será realizado em setembro em Chicago, nos Estados Unidos. O eVTOL, veículo elétrico de pouso e decolagem vertical, será substituído por helicópteros.;https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2022/08/23/eve-da-embraer-vai-iniciar-testes-de-mobilidade-aerea-para-carros-voadores.ghtml
24;"Polícia Federal em PE alerta para golpe em que vítima vê conta bancária sendo 'esvaziada'; saiba como se proteger";Segundo a PF, o golpe chamado de 'mão fantasma' é aplicado invadindo os celulares das vítimas, que são enganadas para instalar programas maliciosos.;https://g1.globo.com/pe/pernambuco/noticia/2022/08/23/policia-federal-em-pe-alerta-para-golpe-em-que-vitima-ve-conta-bancaria-sendo-esvaziada-saiba-como-se-proteger.ghtml
25;Facebook é multado em R$ 6,6 milhões por vazamento de dados de brasileiros em 2018;Empresa ainda pode recorrer da decisão. Compartilhamento ilegal de dados ocorria pelo aplicativo de teste de personalidade “This Is Your Digital Life”, mostrou investigação da Senacon, órgão vinculado à Justiça.;https://g1.globo.com/tecnologia/noticia/2022/08/23/facebook-e-multado-em-r-66-milhoes-por-vazamento-de-dados-de-brasileiros-em-2018.ghtml
26;Por dentro do mundo secreto do comércio de nudes;Mulheres enfrentam chantagens depois que seus detalhes e fotos íntimas são compartilhados na internet. A BBC desmascara um homem por trás de um dos grupos - graças a um isqueiro.;https://g1.globo.com/tecnologia/noticia/2022/08/22/por-dentro-do-mundo-secreto-do-comercio-de-nudes.ghtml
27;Elon Musk pede informações a Jack Dorsey, cofundador do Twitter, em batalha judicial contra a empresa ;Musk solicitou formalmente que o executivo apresente detalhes sobre o cálculo da base de usuários ativos pela empresa e como eles são usados para definir metas e pagamentos de executivos.;https://g1.globo.com/tecnologia/noticia/2022/08/22/elon-musk-pede-informacoes-ao-cofundador-do-twitter-em-batalha-judicial-contra-a-empresa.ghtml
28;TCU alerta para situação de alto risco na segurança cibernética do setor público federal;Fiscalização realizada pelo tribunal identificou falhas e vulnerabilidades devido à ausência de mecanismos de controle na maioria das repartições. Cartilha com recomendações foi publicada.;https://g1.globo.com/politica/noticia/2022/08/22/tcu-alerta-para-situacao-de-alto-risco-na-seguranca-cibernetica-do-setor-publico-federal.ghtml
29;Quem foi Cláudia Celeste, atriz transexual homenageada por doodle do Google;Capa do buscador traz ilustração sobre a artista, primeira transexual a aparecer em novelas brasileiras.;https://g1.globo.com/economia/tecnologia/noticia/2022/08/22/quem-foi-claudia-celeste-atriz-transexual-homenageada-por-doodle-do-google.ghtml
